"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"12","1006.6","...","1007.9","2022-05-12 10:33","1005.6","2022-05-12 14:29","25.8","29.8","2022-05-12 10:11","24.7","2022-05-12 03:06","...","93","76","2022-05-12 09:54","1.7","18","6.5","15","2022-05-12 00:22","10.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1005.3","...","1007.5","2022-05-13 22:17","1003.8","2022-05-13 15:30","26.3","30.4","2022-05-13 13:35","22.7","2022-05-13 03:13","...","89","76","2022-05-13 12:25","2.7","215","10.9","245","2022-05-13 15:30","10.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1007.7","...","1010.0","2022-05-14 22:02","1005.4","2022-05-14 03:43","23.5","25.6","2022-05-14 01:12","22.2","2022-05-14 06:17","...","97","93","2022-05-14 13:47","2.4","32","10.2","4","2022-05-14 23:59","74.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1008.7","...","1010.4","2022-05-15 09:21","1006.9","2022-05-15 16:01","21.0","23.9","2022-05-15 13:06","18.3","2022-05-15 18:24","...","93","86","2022-05-15 13:56","4.4","30","17.8","47","2022-05-15 14:03","10.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1009.0","...","1011.0","2022-05-16 22:44","1007.6","2022-05-16 04:11","19.0","21.1","2022-05-16 16:52","18.0","2022-05-16 18:41","...","95","92","2022-05-16 08:02","4.9","28","20.0","13","2022-05-16 06:57","21.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1010.7","...","1012.6","2022-05-17 22:01","1008.9","2022-05-17 02:51","22.0","26.4","2022-05-17 12:04","17.4","2022-05-17 01:19","...","83","70","2022-05-17 17:51","3.6","25","13.6","32","2022-05-17 16:30","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1011.1","...","1012.9","2022-05-18 08:52","1009.4","2022-05-18 16:03","24.4","27.7","2022-05-18 11:32","20.6","2022-05-18 03:31","...","87","76","2022-05-18 09:51","3.7","17","14.9","32","2022-05-18 15:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1008.8","...","1011.0","2022-05-19 09:03","1006.2","2022-05-19 17:14","25.9","28.3","2022-05-19 12:51","24.0","2022-05-19 05:25","...","92","82","2022-05-19 12:43","3.0","20","12.4","26","2022-05-19 18:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1005.7","...","1007.9","2022-05-20 00:01","1003.5","2022-05-20 17:36","25.6","28.0","2022-05-20 15:17","24.3","2022-05-20 04:05","...","91","83","2022-05-20 11:42","4.1","14","14.0","14","2022-05-20 15:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
