,ID,Date,Temp_m,Generation,Irradiance,Capacity,Lat,Lon,Angle,Irradiance_m,Temp,Module,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,最大十分鐘降水量,最大十分鐘降水量起始時間,最大六十分鐘降水量,最大六十分鐘降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量,日最高紫外線指數,日最高紫外線指數時間,總雲量
10,11,2020/6/19,,3017,26.08,499.8,25.11,121.26,22.0,7244,29.4,MM60-6RT-300,1006.2 ,1008.6 ,1007.5 ,2020-06-19 11:37 ,1005.2 ,2020-06-19 01:32 ,29.2 ,31.3 ,2020-06-19 14:27 ,26.7 ,2020-06-19 23:37 ,25.3 ,80 ,72 ,2020-06-19 00:32 ,7.8 ,230 ,19.0 ,220 ,2020-06-19 09:48 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.1 ,88.7 ,27.13 ,18.0 ,7.8 ,12 ,2020-06-19 12:00 ,6.2 
11,12,2020/6/20,,3219,27.27,499.8,25.11,121.26,22.0,7575,29.6,MM60-6RT-300,1005.7 ,1008.2 ,1007.2 ,2020-06-20 10:01 ,1004.0 ,2020-06-20 16:44 ,29.2 ,31.4 ,2020-06-20 13:02 ,26.3 ,2020-06-20 00:42 ,25.3 ,80 ,74 ,2020-06-20 09:42 ,6.3 ,220 ,16.6 ,230 ,2020-06-20 09:44 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.5 ,91.6 ,27.76 ,16.7 ,6.9 ,12 ,2020-06-20 13:00 ,4.7 
12,13,2020/6/21,,2551,21.69,499.8,25.11,121.26,22.0,6025,29.4,MM60-6RT-300,1003.0 ,1005.5 ,1005.0 ,2020-06-21 00:01 ,1000.6 ,2020-06-21 16:51 ,29.5 ,31.3 ,2020-06-21 13:58 ,26.6 ,2020-06-21 03:15 ,25.1 ,77 ,70 ,2020-06-21 21:53 ,8.0 ,240 ,20.2 ,240 ,2020-06-21 11:00 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.9 ,65.2 ,22.75 ,18.0 ,6.4 ,12 ,2020-06-21 12:00 ,6.5 
13,14,2020/6/22,,2872,25.25,499.8,25.11,121.26,22.0,7014,29.6,MM60-6RT-300,1003.4 ,1005.8 ,1004.9 ,2020-06-22 22:06 ,1002.1 ,2020-06-22 03:03 ,29.9 ,31.4 ,2020-06-22 12:00 ,28.4 ,2020-06-22 06:12 ,25.6 ,78 ,70 ,2020-06-22 20:04 ,8.8 ,230 ,18.7 ,230 ,2020-06-22 09:43 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.5 ,84.3 ,27.59 ,19.3 ,6.9 ,12 ,2020-06-22 13:00 ,5.3 
14,15,2020/6/23,,3070,26.71,499.8,25.11,121.26,22.0,7419,30.4,MM60-6RT-300,1004.1 ,1006.5 ,1004.9 ,2020-06-23 22:01 ,1003.0 ,2020-06-23 18:55 ,29.8 ,32.0 ,2020-06-23 12:36 ,26.6 ,2020-06-23 04:17 ,25.6 ,78 ,74 ,2020-06-23 07:51 ,7.2 ,220 ,18.4 ,240 ,2020-06-23 14:03 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.0 ,87.9 ,27.73 ,18.7 ,2.0 ,12 ,2020-06-23 12:00 ,7.2 
15,16,2020/6/24,,2902,26.2,499.8,25.11,121.26,22.0,7278,30.2,MM60-6RT-300,1003.7 ,1006.1 ,1004.8 ,2020-06-24 07:29 ,1002.2 ,2020-06-24 15:01 ,29.5 ,31.8 ,2020-06-24 11:11 ,27.6 ,2020-06-24 02:33 ,25.6 ,80 ,76 ,2020-06-24 09:16 ,7.5 ,220 ,17.5 ,230 ,2020-06-24 08:18 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.5 ,62.3 ,24.02 ,18.0 ,9.0 ,12 ,2020-06-24 13:00 ,7.7 
16,17,2020/6/25,,3054,27.54,499.8,25.11,121.26,22.0,7650,30.5,MM60-6RT-300,1004.6 ,1007.0 ,1006.5 ,2020-06-25 22:13 ,1003.3 ,2020-06-25 15:07 ,29.8 ,31.9 ,2020-06-25 12:23 ,27.8 ,2020-06-25 02:29 ,24.9 ,75 ,68 ,2020-06-25 08:48 ,7.3 ,220 ,17.3 ,270 ,2020-06-25 11:21 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.8 ,86.5 ,26.23 ,18.0 ,7.5 ,12 ,2020-06-25 13:00 ,6.0 
17,18,2020/6/26,,2349,20.06,499.8,25.11,121.26,22.0,5572,29.3,MM60-6RT-300,1006.8 ,1009.2 ,1008.5 ,2020-06-26 22:07 ,1005.6 ,2020-06-26 01:23 ,29.8 ,32.4 ,2020-06-26 12:14 ,27.3 ,2020-06-26 23:02 ,25.6 ,78 ,71 ,2020-06-26 00:01 ,5.6 ,230 ,13.1 ,260 ,2020-06-26 11:36 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,5.2 ,38.1 ,20.89 ,18.0 ,5.7 ,12 ,2020-06-26 12:00 ,8.7 
18,19,2020/6/27,,2985,27.61,499.8,25.11,121.26,22.0,7669,29.8,MM60-6RT-300,1006.8 ,1009.3 ,1008.0 ,2020-06-27 08:40 ,1005.5 ,2020-06-27 14:34 ,29.3 ,31.8 ,2020-06-27 11:32 ,26.2 ,2020-06-27 05:03 ,25.6 ,81 ,75 ,2020-06-27 06:48 ,5.6 ,250 ,16.3 ,260 ,2020-06-27 13:56 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.5 ,84.3 ,27.20 ,18.7 ,7.2 ,12 ,2020-06-27 12:00 ,5.5 
19,20,2020/6/28,,2966,26.16,499.8,25.11,121.26,22.0,7267,29.7,MM60-6RT-300,1005.8 ,1008.3 ,1007.1 ,2020-06-28 08:45 ,1004.7 ,2020-06-28 23:40 ,29.5 ,31.9 ,2020-06-28 10:35 ,27.3 ,2020-06-28 23:49 ,25.6 ,80 ,70 ,2020-06-28 09:23 ,5.5 ,230 ,14.9 ,260 ,2020-06-28 11:15 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.8 ,79.2 ,26.76 ,23.0 ,6.8 ,12 ,2020-06-28 12:00 ,7.7 
20,21,2020/6/29,,2960,24.71,499.8,25.11,121.26,22.0,6864,30.5,MM60-6RT-300,1003.5 ,1006.0 ,1005.3 ,2020-06-29 07:24 ,1001.9 ,2020-06-29 17:16 ,29.8 ,32.2 ,2020-06-29 12:39 ,27.2 ,2020-06-29 00:40 ,26.1 ,81 ,72 ,2020-06-29 12:49 ,7.6 ,250 ,17.1 ,260 ,2020-06-29 14:39 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.8 ,79.2 ,26.79 ,19.7 ,7.9 ,12 ,2020-06-29 13:00 ,7.7 
21,22,2020/6/30,,2650,23.69,499.8,25.11,121.26,22.0,6581,30.3,MM60-6RT-300,1002.7 ,1005.1 ,1004.0 ,2020-06-30 21:43 ,1001.4 ,2020-06-30 17:16 ,30.0 ,32.1 ,2020-06-30 13:21 ,28.7 ,2020-06-30 00:31 ,26.7 ,83 ,76 ,2020-06-30 00:01 ,8.3 ,240 ,16.5 ,240 ,2020-06-30 11:43 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.2 ,82.2 ,26.08 ,20.3 ,7.9 ,13 ,2020-06-30 12:00 ,7.0 
22,23,2020/7/1,,2703,20.73,499.8,25.11,121.26,22.0,5758,29.6,MM60-6RT-300,1003.7 ,1006.1 ,1005.9 ,2020-07-01 22:51 ,1001.8 ,2020-07-01 02:40 ,29.5 ,32.5 ,2020-07-01 11:56 ,26.8 ,2020-07-01 17:40 ,26.0 ,81 ,75 ,2020-07-01 09:19 ,6.1 ,230 ,17.3 ,230 ,2020-07-01 17:03 ,1.0 ,0.5 ,1.0 ,2020-07-01 17:17 ,1.0 ,2020-07-01 17:15 ,8.1 ,59.5 ,24.50 ,20.7 ,-6.6 ,13 ,2020-07-01 12:00 ,8.0 
23,24,2020/7/2,,2153,16.73,499.8,25.11,121.26,22.0,4647,28.1,MM60-6RT-300,1005.8 ,1008.3 ,1008.4 ,2020-07-02 21:18 ,1004.0 ,2020-07-02 14:15 ,29.1 ,32.5 ,2020-07-02 10:07 ,26.3 ,2020-07-02 05:23 ,25.5 ,81 ,69 ,2020-07-02 09:22 ,3.4 ,260 ,13.7 ,240 ,2020-07-02 16:03 ,T ,0.1 ,T ,2020-07-02 17:26 ,T ,2020-07-02 17:26 ,7.0 ,51.4 ,21.71 ,19.3 ,-5.9 ,9 ,2020-07-02 11:00 ,7.2 
24,25,2020/7/3,,2268,18.42,499.8,25.11,121.26,22.0,5117,28.9,MM60-6RT-300,1007.7 ,1010.1 ,1009.0 ,2020-07-03 20:50 ,1006.6 ,2020-07-03 00:59 ,29.4 ,32.1 ,2020-07-03 11:18 ,26.6 ,2020-07-03 04:01 ,25.6 ,80 ,70 ,2020-07-03 08:26 ,5.0 ,250 ,13.0 ,250 ,2020-07-03 11:50 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.3 ,53.6 ,19.96 ,17.3 ,5.5 ,9 ,2020-07-03 12:00 ,7.5 
25,26,2020/7/4,,2778,24.77,499.8,25.11,121.26,22.0,6881,29.7,MM60-6RT-300,1007.3 ,1009.7 ,1008.7 ,2020-07-04 00:01 ,1005.6 ,2020-07-04 15:28 ,29.6 ,32.4 ,2020-07-04 12:31 ,27.6 ,2020-07-04 23:55 ,26.4 ,83 ,72 ,2020-07-04 16:56 ,5.2 ,220 ,12.1 ,230 ,2020-07-04 01:31 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.6 ,77.9 ,25.47 ,16.7 ,6.9 ,12 ,2020-07-04 13:00 ,6.8 
26,27,2020/7/5,,3063,25.34,499.8,25.11,121.26,22.0,7039,29.6,MM60-6RT-300,1005.1 ,1007.5 ,1006.5 ,2020-07-05 00:01 ,1003.7 ,2020-07-05 17:43 ,29.6 ,32.5 ,2020-07-05 12:46 ,27.2 ,2020-07-05 01:21 ,25.7 ,80 ,66 ,2020-07-05 12:44 ,6.3 ,230 ,14.3 ,220 ,2020-07-05 07:19 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.2 ,82.4 ,28.03 ,16.0 ,8.2 ,12 ,2020-07-05 13:00 ,4.5 
27,28,2020/7/6,,2781,24.09,499.8,25.11,121.26,22.0,6692,30.0,MM60-6RT-300,1005.1 ,1007.5 ,1006.9 ,2020-07-06 22:31 ,1003.0 ,2020-07-06 03:31 ,29.8 ,32.1 ,2020-07-06 12:54 ,27.5 ,2020-07-06 00:16 ,25.5 ,78 ,68 ,2020-07-06 10:37 ,7.8 ,220 ,17.6 ,230 ,2020-07-06 08:55 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.1 ,74.3 ,26.81 ,16.7 ,8.6 ,12 ,2020-07-06 12:00 ,6.7 
28,29,2020/7/7,,2744,22.49,499.8,25.11,121.26,22.0,6247,30.4,MM60-6RT-300,1006.8 ,1009.2 ,1008.1 ,2020-07-07 10:22 ,1005.8 ,2020-07-07 17:40 ,30.0 ,32.2 ,2020-07-07 12:36 ,28.6 ,2020-07-07 02:55 ,25.4 ,77 ,72 ,2020-07-07 04:10 ,8.2 ,230 ,16.7 ,250 ,2020-07-07 09:52 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.7 ,49.3 ,21.45 ,19.3 ,6.9 ,12 ,2020-07-07 13:00 ,7.7 
29,30,2020/7/8,,2452,20.23,499.8,25.11,121.26,22.0,5619,30.2,MM60-6RT-300,1004.1 ,1006.5 ,1006.5 ,2020-07-08 00:01 ,1002.2 ,2020-07-08 23:59 ,29.8 ,31.9 ,2020-07-08 10:41 ,28.2 ,2020-07-08 02:00 ,25.8 ,79 ,74 ,2020-07-08 10:07 ,8.2 ,230 ,18.6 ,260 ,2020-07-08 14:19 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.5 ,47.9 ,21.27 ,18.0 ,7.6 ,10 ,2020-07-08 14:00 ,8.7 
30,31,2020/7/9,,1844,16.1,499.8,25.11,121.26,22.0,4472,30.4,MM60-6RT-300,1001.3 ,1003.7 ,1002.3 ,2020-07-09 00:12 ,1000.2 ,2020-07-09 14:23 ,30.1 ,31.5 ,2020-07-09 15:35 ,29.0 ,2020-07-09 04:43 ,25.4 ,76 ,65 ,2020-07-09 23:58 ,10.2 ,230 ,20.3 ,250 ,2020-07-09 14:15 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.5 ,11.1 ,15.26 ,18.0 ,6.3 ,7 ,2020-07-09 13:00 ,9.8 
31,32,2020/7/10,,2309,16.2,499.8,25.11,121.26,22.0,4500,30.0,MM60-6RT-300,1004.3 ,1006.7 ,1006.5 ,2020-07-10 23:41 ,1001.9 ,2020-07-10 00:55 ,30.1 ,32.8 ,2020-07-10 12:19 ,27.9 ,2020-07-10 23:59 ,25.7 ,78 ,64 ,2020-07-10 00:25 ,8.0 ,230 ,17.7 ,230 ,2020-07-10 02:07 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.7 ,27.3 ,19.71 ,17.3 ,6.5 ,12 ,2020-07-10 13:00 ,9.3 
32,33,2020/7/11,,3052,26.32,499.8,25.11,121.26,22.0,7311,29.8,MM60-6RT-300,1006.4 ,1008.9 ,1007.4 ,2020-07-11 06:59 ,1005.3 ,2020-07-11 16:23 ,29.4 ,32.7 ,2020-07-11 12:05 ,26.1 ,2020-07-11 04:58 ,25.7 ,81 ,70 ,2020-07-11 10:36 ,4.5 ,230 ,12.4 ,250 ,2020-07-11 10:34 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.5 ,92.3 ,27.35 ,18.0 ,7.7 ,12 ,2020-07-11 13:00 ,7.5 
33,34,2020/7/12,,3124,28.28,499.8,25.11,121.26,22.0,7856,30.1,MM60-6RT-300,1006.2 ,1008.7 ,1007.6 ,2020-07-12 07:20 ,1004.1 ,2020-07-12 15:26 ,29.8 ,32.7 ,2020-07-12 12:33 ,27.1 ,2020-07-12 01:38 ,25.5 ,78 ,68 ,2020-07-12 12:49 ,4.3 ,220 ,11.4 ,240 ,2020-07-12 09:28 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.8 ,94.5 ,28.04 ,18.0 ,7.6 ,13 ,2020-07-12 13:00 ,3.8 
34,35,2020/7/13,,3059,27.13,499.8,25.11,121.26,22.0,7536,30.2,MM60-6RT-300,1005.4 ,1007.8 ,1006.5 ,2020-07-13 08:44 ,1003.9 ,2020-07-13 15:59 ,30.3 ,33.8 ,2020-07-13 12:46 ,27.3 ,2020-07-13 01:40 ,25.9 ,78 ,59 ,2020-07-13 14:51 ,4.1 ,240 ,10.7 ,230 ,2020-07-13 07:35 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.0 ,88.7 ,27.22 ,16.0 ,8.2 ,12 ,2020-07-13 12:00 ,6.8 
35,36,2020/7/14,,2884,23.27,499.8,25.11,121.26,22.0,6464,30.1,MM60-6RT-300,1004.2 ,1006.6 ,1005.7 ,2020-07-14 07:51 ,1002.4 ,2020-07-14 16:51 ,30.0 ,33.9 ,2020-07-14 13:28 ,27.1 ,2020-07-14 04:24 ,26.0 ,80 ,58 ,2020-07-14 13:18 ,2.9 ,310 ,7.6 ,10 ,2020-07-14 16:40 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.1 ,82.1 ,24.84 ,15.3 ,6.2 ,11 ,2020-07-14 12:00 ,5.0 
36,37,2020/7/15,,2402,16.95,499.8,25.11,121.26,22.0,4708,30.4,MM60-6RT-300,1003.5 ,1005.9 ,1005.2 ,2020-07-15 08:06 ,1001.5 ,2020-07-15 15:56 ,30.0 ,33.1 ,2020-07-15 12:20 ,27.6 ,2020-07-15 04:49 ,26.6 ,82 ,73 ,2020-07-15 15:09 ,5.3 ,260 ,15.9 ,230 ,2020-07-15 18:49 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.4 ,54.8 ,23.83 ,12.3 ,8.6 ,12 ,2020-07-15 12:00 ,7.7 
37,38,2020/7/16,,1607,14.82,499.8,25.11,121.26,22.0,4117,30.3,MM60-6RT-300,1004.1 ,1006.5 ,1005.7 ,2020-07-16 22:25 ,1003.1 ,2020-07-16 03:07 ,30.2 ,33.1 ,2020-07-16 10:17 ,27.7 ,2020-07-16 13:11 ,24.3 ,71 ,54 ,2020-07-16 16:40 ,8.2 ,230 ,19.0 ,230 ,2020-07-16 10:20 ,3.0 ,0.5 ,2.0 ,2020-07-16 12:57 ,2.5 ,2020-07-16 12:24 ,3.9 ,28.9 ,16.17 ,22.0 ,-7.2 ,8 ,2020-07-16 11:00 ,7.5 
38,39,2020/7/17,,2971,26.91,499.8,25.11,121.26,22.0,7475,30.5,MM60-6RT-300,1005.7 ,1008.1 ,1007.0 ,2020-07-17 07:46 ,1004.1 ,2020-07-17 02:42 ,30.4 ,32.8 ,2020-07-17 13:22 ,28.3 ,2020-07-17 00:31 ,25.7 ,76 ,69 ,2020-07-17 12:06 ,8.3 ,230 ,18.5 ,240 ,2020-07-17 10:28 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.7 ,79.4 ,27.30 ,21.3 ,8.5 ,12 ,2020-07-17 13:00 ,4.7 
39,40,2020/7/18,,3116,28.19,499.8,25.11,121.26,22.0,7831,30.8,MM60-6RT-300,1005.8 ,1008.2 ,1006.7 ,2020-07-18 07:56 ,1004.6 ,2020-07-18 16:01 ,30.5 ,33.1 ,2020-07-18 12:02 ,28.7 ,2020-07-18 04:44 ,25.9 ,77 ,70 ,2020-07-18 11:50 ,7.8 ,220 ,18.1 ,240 ,2020-07-18 10:37 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.6 ,93.6 ,27.63 ,18.7 ,8.5 ,12 ,2020-07-18 12:00 ,4.8 
40,41,2020/7/19,,2705,22.21,499.8,25.11,121.26,22.0,6169,30.6,MM60-6RT-300,1006.1 ,1008.5 ,1007.8 ,2020-07-19 23:03 ,1004.8 ,2020-07-19 02:43 ,30.3 ,33.8 ,2020-07-19 12:59 ,28.2 ,2020-07-19 22:58 ,26.1 ,78 ,68 ,2020-07-19 12:34 ,6.2 ,220 ,15.8 ,230 ,2020-07-19 09:04 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.6 ,71.4 ,25.92 ,17.3 ,7.6 ,12 ,2020-07-19 13:00 ,6.3 
41,42,2020/7/20,,2769,22.24,499.8,25.11,121.26,22.0,6178,29.5,MM60-6RT-300,1008.4 ,1010.8 ,1010.0 ,2020-07-20 23:02 ,1006.7 ,2020-07-20 15:38 ,29.6 ,32.9 ,2020-07-20 11:08 ,27.0 ,2020-07-20 01:45 ,25.3 ,78 ,67 ,2020-07-20 09:39 ,3.7 ,260 ,11.7 ,240 ,2020-07-20 10:43 ,T ,0.1 ,T ,2020-07-20 18:01 ,T ,2020-07-20 18:01 ,9.2 ,68.5 ,24.51 ,18.0 ,-6.8 ,12 ,2020-07-20 13:00 ,4.2 
42,43,2020/7/21,,2667,16.62,499.8,25.11,121.26,22.0,4617,29.3,MM60-6RT-300,1009.8 ,1012.2 ,1010.9 ,2020-07-21 22:20 ,1008.6 ,2020-07-21 16:57 ,30.0 ,33.4 ,2020-07-21 13:03 ,25.9 ,2020-07-21 03:04 ,25.0 ,75 ,64 ,2020-07-21 10:39 ,2.3 ,290 ,8.3 ,280 ,2020-07-21 12:15 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.0 ,81.9 ,28.03 ,18.0 ,7.4 ,12 ,2020-07-21 13:00 ,4.3 
43,44,2020/7/22,,2970,25.28,499.8,25.11,121.26,22.0,7022,29.7,MM60-6RT-300,1008.6 ,1011.0 ,1010.1 ,2020-07-22 00:01 ,1007.0 ,2020-07-22 17:03 ,30.2 ,33.8 ,2020-07-22 12:00 ,26.8 ,2020-07-22 05:09 ,25.5 ,76 ,63 ,2020-07-22 10:25 ,2.2 ,260 ,7.7 ,270 ,2020-07-22 12:17 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.1 ,90.2 ,26.90 ,18.7 ,6.2 ,12 ,2020-07-22 12:00 ,2.2 
44,45,2020/7/23,,2783,23.16,499.8,25.11,121.26,22.0,6433,30.0,MM60-6RT-300,1007.4 ,1009.8 ,1008.8 ,2020-07-23 07:44 ,1005.9 ,2020-07-23 17:57 ,30.0 ,33.0 ,2020-07-23 11:57 ,27.4 ,2020-07-23 04:39 ,26.3 ,81 ,74 ,2020-07-23 23:14 ,3.4 ,210 ,9.4 ,250 ,2020-07-23 09:46 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.9 ,66.4 ,24.01 ,16.0 ,8.6 ,12 ,2020-07-23 12:00 ,5.7 
